,Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
76,2020-06-10,13.1864,13.2789,13.1864,13.2789,615.9162561319
77,2020-06-15,13.0006,13.0006,13.0006,13.0006,68.2019704405
78,2020-06-16,13.4647,13.4647,13.0006,13.0006,179.42364531270002
79,2020-06-22,13.0006,13.0006,12.9081,12.9081,436.49261081919997
80,2020-06-23,13.2789,13.2789,13.2789,13.2789,88.1379310308
81,2020-06-24,13.4647,13.5581,13.4647,13.5581,139.5517241321
82,2020-06-25,13.4647,13.4647,13.4647,13.4647,608.571428546
83,2020-06-26,13.093,13.3723,13.093,13.3723,128.0098522114
84,2020-06-29,13.3723,13.3723,13.3723,13.3723,65.0541871894
85,2020-07-07,13.1864,13.1864,13.0006,13.0006,151.0935960528
86,2020-07-08,13.0006,13.0006,13.0006,13.0006,231.8866994977
87,2020-07-09,13.093,13.3723,13.093,13.3723,222.4433497444
88,2020-07-10,13.0006,13.0006,13.0006,13.0006,147.94581280170001
89,2020-07-13,13.0006,13.0006,13.0006,13.0006,158.43842363870002
90,2020-07-14,12.8147,12.8147,12.8147,12.8147,799.5369457794001
91,2020-07-15,12.5364,12.5364,12.5364,12.5364,581.2906403698
92,2020-07-16,12.5364,12.5364,12.5364,12.5364,1407.0591132417
93,2020-07-17,12.6289,12.6289,12.6289,12.6289,392.42364530379996
94,2020-07-20,12.2582,12.2582,12.2582,12.2582,327.3694581144
95,2020-07-21,12.6289,12.6289,12.6289,12.6289,370.3891625461
96,2020-07-23,12.9081,12.9081,12.8147,12.8147,270.7093595946
97,2020-07-27,12.7223,12.7223,12.7223,12.7223,252.8719211717
98,2020-07-30,13.0006,13.0006,13.0006,13.0006,22.0344827577
99,2020-08-03,13.0006,13.0006,12.9081,12.9081,46026.88669758401
100,2020-08-04,13.0006,13.0006,13.0006,13.0006,936.9901477441
101,2020-08-05,12.3506,12.3506,12.3506,12.3506,342.0591132862
102,2020-08-06,12.8147,12.8147,12.8147,12.8147,10.492610837
103,2020-08-11,12.8147,12.8147,12.8147,12.8147,65.0541871894
104,2020-08-13,12.2582,12.2582,12.2582,12.2582,538.2709359381
105,2020-08-17,12.8147,12.8147,12.8147,12.8147,80.7931034449
106,2020-08-19,12.8147,12.8147,12.8147,12.8147,323.1724137796
107,2020-08-21,12.3506,12.3506,12.3506,12.3506,1399.7142856557998
108,2020-08-24,12.1648,12.1648,12.1648,12.1648,561.3546797795
109,2020-08-26,12.6289,12.6289,12.6289,12.6289,161.5862068898
110,2020-08-27,12.7223,12.8147,12.7223,12.8147,1177.2709359114
111,2020-08-28,12.8147,13.2789,12.8147,13.2789,1238.128078766
112,2020-08-31,13.1864,13.3723,13.1864,13.3723,2167.7733989242
113,2020-09-01,13.5581,13.6506,13.5581,13.6506,2240.1724136995003
114,2020-09-02,13.6506,13.6506,13.6506,13.6506,710.3497536649
115,2020-09-03,13.6506,13.6506,13.6506,13.6506,1311.576354625
116,2020-09-04,13.6506,13.6506,13.6506,13.6506,599.1280787927
117,2020-09-07,13.6506,13.6506,13.6506,13.6506,246.5763546695
118,2020-09-08,12.9081,13.6506,12.9081,13.6506,1575.9901477173999
119,2020-09-09,13.4647,13.6506,13.4647,13.6506,841.5073891274001
120,2020-09-10,13.5581,13.5581,13.5581,13.5581,1685.1133004222
121,2020-09-11,13.5581,13.5581,13.5581,13.5581,698.8078817442
122,2020-09-17,13.0006,13.0006,13.0006,13.0006,129.0591132951
123,2020-09-18,13.0006,13.0006,13.0006,13.0006,603.3251231275
124,2020-09-22,13.1864,13.4647,13.1864,13.4647,252.8719211717
125,2020-09-23,13.5581,13.5581,13.5581,13.5581,1626.354679735
126,2020-09-24,13.744000000000002,13.744000000000002,13.6506,13.6506,2477.3054186157
127,2020-09-25,15.0439,15.0439,15.0439,15.0439,1399.7142856557998
128,2020-09-28,13.744000000000002,14.9505,13.744000000000002,14.9505,371.4384236298
129,2020-09-29,14.8581,14.8581,14.7647,14.7647,1195.1083743343
130,2020-10-01,14.9505,14.9505,14.9505,14.9505,868.7881773036
131,2020-10-05,14.9505,14.9505,14.9505,14.9505,15.7389162555
132,2020-10-06,14.6722,14.6722,14.3939,14.3939,449.0837438236
133,2020-10-07,14.8581,14.8581,14.6722,14.6722,475.3152709161
134,2020-10-08,13.5581,13.5581,13.5581,13.5581,215.09852215849997
135,2020-10-09,14.8581,14.8581,14.8581,14.8581,6.295566502200001
136,2020-10-13,14.7647,14.7647,14.7647,14.7647,48.26600985020001
137,2020-10-14,14.4864,14.4864,14.3939,14.3939,175.2266009779
138,2020-10-15,13.5581,13.5581,13.4647,13.4647,2191.9064038492997
139,2020-10-16,13.4647,13.4647,13.4647,13.4647,778.5517241053999
140,2020-10-19,13.4647,13.5581,13.4647,13.5581,175.2266009779
141,2020-10-20,13.5581,13.5581,13.5581,13.5581,641.0985221407
142,2020-10-22,13.5581,13.5581,13.5581,13.5581,36.724137929499996
143,2020-10-23,13.5581,13.5581,13.5581,13.5581,146.89655171799998
144,2020-10-26,13.4647,13.4647,13.4647,13.4647,540.3694581055
145,2020-10-27,13.4647,13.4647,13.4647,13.4647,146.89655171799998
146,2020-10-28,13.4647,13.4647,13.4647,13.4647,71.3497536916
147,2020-10-30,13.0006,13.0006,13.0006,13.0006,859.3448275503
148,2020-11-04,13.0006,13.0006,13.0006,13.0006,177.32512314529998
149,2020-11-05,13.093,13.093,13.093,13.093,108.0738916211
150,2020-11-06,13.4647,13.4647,13.0006,13.0006,185.7192118149
151,2020-11-09,13.5581,13.8364,13.5581,13.8364,586.5369457883
152,2020-11-10,13.8364,13.8364,13.8364,13.8364,380.8817733831
153,2020-11-16,13.9288,13.9288,13.9288,13.9288,538.2709359381
154,2020-11-17,13.9288,13.9288,13.9288,13.9288,527.7783251011
155,2020-11-18,13.3723,13.3723,13.3723,13.3723,865.6403940525
156,2020-11-19,13.9288,13.9288,13.9288,13.9288,1.0492610837
157,2020-11-23,13.9288,13.9288,13.9288,13.9288,287.4975369338
158,2020-11-24,13.9288,13.9288,13.9288,13.9288,172.0788177268
159,2020-11-25,13.3723,13.3723,13.3723,13.3723,7.3448275859
160,2020-11-26,13.2789,13.2789,13.2789,13.2789,221.3940886607
161,2020-11-27,13.8364,13.8364,13.8364,13.8364,53.5123152687
162,2020-11-30,15.2288,16.6222,15.2288,16.6222,6379.507388896
163,2020-12-01,16.9005,18.758,16.9005,18.758,6293.4679800326
164,2020-12-02,20.9872,20.9872,20.4296,20.4296,4064.8374382538
165,2020-12-03,22.2871,22.471999999999998,22.2871,22.471999999999998,1310.5270935413
166,2020-12-04,21.5437,21.5437,21.5437,21.5437,696.7093595767999
167,2020-12-07,20.0579,20.4296,20.0579,20.4296,1179.3694580788
168,2020-12-08,19.5013,20.2438,19.5013,20.2438,1589.6305418055
169,2020-12-09,20.4296,20.4296,19.8721,19.8721,1075.4926107925
170,2020-12-10,19.5013,19.5013,19.5013,19.5013,591.7832512068001
171,2020-12-11,18.758,18.758,18.758,18.758,565.5517241143
172,2020-12-14,18.9438,18.9438,18.9438,18.9438,360.9458127928
173,2020-12-16,20.2438,20.2438,19.6862,19.6862,816.3251231186
174,2020-12-17,20.6155,20.6155,19.5013,19.5013,1390.2709359025
175,2020-12-21,19.6862,19.6862,19.6862,19.6862,534.0738916033
176,2020-12-22,18.758,19.5013,18.758,19.5013,375.63546796459997
177,2020-12-23,19.3155,19.6862,19.3155,19.6862,65.0541871894
178,2020-12-28,19.8721,19.8721,19.8721,19.8721,497.34975367379997
179,2020-12-29,20.2438,20.2438,20.2438,20.2438,1430.1428570831
180,2020-12-30,19.6862,20.4296,19.6862,20.4296,2160.4285713382997
181,2021-01-04,20.4296,21.171999999999997,20.4296,21.171999999999997,1228.6847290127
182,2021-01-05,20.9872,20.9872,20.9872,20.9872,462.7241379117
183,2021-01-07,21.171999999999997,21.9154,21.171999999999997,21.9154,1510.935960528
184,2021-01-08,22.2871,22.471999999999998,22.2871,22.471999999999998,371.4384236298
185,2021-01-11,22.471999999999998,22.471999999999998,22.471999999999998,22.471999999999998,866.6896551361999
186,2021-01-12,23.0295,23.5871,23.0295,23.5871,440.68965515400004
187,2021-01-13,23.5871,23.7729,23.5871,23.7729,580.2413792861
188,2021-01-14,23.7729,23.7729,23.5871,23.5871,118.56650245809999
189,2021-01-15,23.4012,23.4012,23.2154,23.2154,398.719211806
190,2021-01-18,23.2154,23.2154,23.2154,23.2154,1029.3251231097
191,2021-01-19,23.2154,23.2154,22.471999999999998,22.471999999999998,481.61083741830004
192,2021-01-20,22.471999999999998,22.471999999999998,22.471999999999998,22.471999999999998,49.3152709339
193,2021-01-21,23.2154,23.2154,23.2154,23.2154,421.8029556474
194,2021-01-22,23.0295,23.0295,22.2871,22.2871,1359.8423644752
195,2021-01-25,22.471999999999998,22.471999999999998,22.471999999999998,22.471999999999998,240.2807881673
196,2021-01-26,22.2871,22.2871,22.2871,22.2871,118.56650245809999
197,2021-01-27,21.171999999999997,21.3579,21.171999999999997,21.3579,435.4433497355
198,2021-01-28,21.3579,21.3579,21.3579,21.3579,656.8374383962
199,2021-01-29,21.171999999999997,21.171999999999997,21.171999999999997,21.171999999999997,153.1921182202
200,2021-02-01,21.3579,22.1013,21.3579,22.1013,261.2660098413
201,2021-02-02,22.1013,22.1013,21.3579,21.3579,65.0541871894
202,2021-02-03,21.3579,21.3579,21.3579,21.3579,92.33497536559999
203,2021-02-04,21.3579,21.3579,20.9872,20.9872,119.6157635418
204,2021-02-05,20.9872,21.3579,20.9872,21.3579,389.27586205269995
205,2021-02-08,21.3579,21.3579,21.3579,21.3579,374.58620688089997
206,2021-02-09,20.8013,20.8013,20.8013,20.8013,240.2807881673
207,2021-02-10,20.8013,20.8013,20.8013,20.8013,453.28078815839996
208,2021-02-11,21.3579,21.3579,21.3579,21.3579,130.1083743788
209,2021-02-12,22.8437,22.8437,22.8437,22.8437,275.95566501310003
210,2021-02-15,22.6578,22.6578,21.171999999999997,21.171999999999997,69.2512315242
211,2021-02-16,21.3579,21.3579,21.3579,21.3579,43.0197044317
212,2021-02-18,22.8437,22.8437,22.8437,22.8437,987.3546797617
213,2021-02-19,23.2154,23.2154,23.2154,23.2154,1893.9162560785
214,2021-02-22,23.7729,23.9578,23.7729,23.9578,794.2906403608999
215,2021-02-23,24.3295,25.2587,24.3295,25.2587,2189.8078816819
216,2021-02-24,26.186999999999998,26.186999999999998,26.186999999999998,26.186999999999998,874.0344827221
217,2021-02-25,27.1153,27.1153,26.9294,26.9294,850.9507388807001
218,2021-02-26,26.9294,26.9294,26.186999999999998,26.186999999999998,215.09852215849997
219,2021-03-01,26.0012,26.186999999999998,26.0012,26.186999999999998,112.2709359559
220,2021-03-02,26.186999999999998,26.186999999999998,26.186999999999998,26.186999999999998,513.0886699293
221,2021-03-03,26.186999999999998,26.186999999999998,26.186999999999998,26.186999999999998,1332.5615762989999
222,2021-03-04,26.186999999999998,26.186999999999998,26.186999999999998,26.186999999999998,215.09852215849997
223,2021-03-05,26.9294,27.1153,26.9294,27.1153,821.5714285371
224,2021-03-08,27.8587,28.7869,27.8587,28.7869,469.0197044139
225,2021-03-09,28.9728,30.6444,28.9728,30.6444,679.9211822376
226,2021-03-10,30.6444,30.8303,30.6444,30.8303,679.9211822376
227,2021-03-11,31.5727,32.6868,31.5727,32.6868,1348.3004925545
228,2021-03-12,32.8727,33.0585,32.8727,33.0585,1289.5418718673
229,2021-03-15,33.4302,33.4302,33.2443,33.2443,728.1871920878
230,2021-03-16,33.0585,33.0585,33.0585,33.0585,1055.5566502022
231,2021-03-17,33.2443,33.2443,33.0585,33.0585,590.7339901230999
232,2021-03-18,33.0585,33.0585,33.0585,33.0585,3.1477832511000003
