,Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
106,2020-06-10,4.81567,4.8598099999999995,4.81567,4.81567,5366.4
108,2020-06-15,4.81567,4.8598099999999995,4.77144,4.77144,9243.52
109,2020-06-16,4.8598099999999995,4.94827,4.77144,4.94827,11707.28
113,2020-06-22,4.77144,4.8598099999999995,4.72731,4.72731,13613.6
114,2020-06-23,4.77144,4.8598099999999995,4.72731,4.8598099999999995,5007.6
115,2020-06-24,4.8598099999999995,5.16904,4.8598099999999995,4.94827,23946.0
116,2020-06-25,4.90394,4.94827,4.77144,4.94827,3789.76
117,2020-06-26,4.94827,4.94827,4.81567,4.94827,3374.8
118,2020-06-29,4.81567,4.90394,4.77144,4.90394,3029.52
124,2020-07-07,4.77144,4.8598099999999995,4.77144,4.8598099999999995,1922.96
125,2020-07-08,4.8598099999999995,4.8598099999999995,4.81567,4.8598099999999995,1755.52
126,2020-07-09,4.8598099999999995,4.8598099999999995,4.77144,4.8598099999999995,5582.72
127,2020-07-10,4.77144,4.81567,4.77144,4.81567,1926.08
128,2020-07-13,4.8598099999999995,4.8598099999999995,4.77144,4.81567,2841.28
129,2020-07-14,4.8598099999999995,4.8598099999999995,4.77144,4.8598099999999995,3312.4
130,2020-07-15,4.8598099999999995,4.8598099999999995,4.77144,4.8598099999999995,3186.56
131,2020-07-16,4.77144,4.8598099999999995,4.77144,4.81567,3101.28
132,2020-07-17,4.81567,4.81567,4.72731,4.81567,4079.92
133,2020-07-20,4.81567,4.81567,4.72731,4.81567,9352.72
134,2020-07-21,4.81567,4.90394,4.81567,4.90394,8816.08
136,2020-07-23,4.8598099999999995,4.90394,4.77144,4.81567,11500.32
138,2020-07-27,4.90394,4.9924,4.8598099999999995,4.9924,6711.12
141,2020-07-30,4.9924,4.9924,4.68317,4.68317,14962.48
143,2020-08-03,4.90394,4.90394,4.77144,4.8598099999999995,4098.64
144,2020-08-04,4.8598099999999995,4.90394,4.8598099999999995,4.90394,6458.4
145,2020-08-05,4.94827,4.9924,4.90394,4.9924,8473.92
146,2020-08-06,4.9924,5.0365400000000005,4.94827,4.9924,7994.48
149,2020-08-11,5.0365400000000005,5.0365400000000005,4.8598099999999995,4.9924,2387.84
151,2020-08-13,4.90394,5.0365400000000005,4.90394,4.94827,1699.36
153,2020-08-17,5.0365400000000005,5.0365400000000005,4.90394,4.9924,3112.72
155,2020-08-19,5.0365400000000005,5.0365400000000005,4.90394,4.9924,2221.44
157,2020-08-21,5.0365400000000005,5.0365400000000005,4.90394,4.9924,1731.6
158,2020-08-24,4.9924,4.9924,4.94827,4.9924,1141.92
160,2020-08-26,4.9924,4.9924,4.90394,4.9924,1552.72
161,2020-08-27,4.94827,4.9924,4.90394,4.9924,5753.28
162,2020-08-28,4.9924,5.0365400000000005,4.94827,5.0365400000000005,2971.28
163,2020-08-31,4.9924,5.0365400000000005,4.94827,5.0365400000000005,4104.88
164,2020-09-01,5.0365400000000005,5.0365400000000005,4.90394,4.9924,3465.28
165,2020-09-02,4.9924,5.0365400000000005,4.94827,5.0365400000000005,8416.72
